speaker,words
Yeager, Was the reaction to King's assassination more than the town's reaction? 
Thomas, No‚ it was already there‚ and fortunately it was there when King was assassinated because I think that right before CBS existed things could have been a lot more violent or a lot more things when Kings was killed. So I think it was fortunate that we had CBS‚ but CBS had been formed as a response to what was happening in town. As in the Grinnell black student I think at the time except for the things that were happening in town we were sort of caught here as a groupp some of us that had left their backgrounds. But as a group we wer8 sort of isolated from the surrounding events of the world. There was really an isolated thing. 
Yeager, You felt isolated from the world. Did you follow things on the television or through the newspapers? 
Thomas, I followed things. 
Yeager, You did. 
Thomas, Even though‚ a lot of people followed things‚ but in a sense none of that stuff was touching us because Grinnell stayed the same. You were here‚ and stayed the same; the tovm stayed the same. It was only because people started getting beat up and things like that‚ and then we started connecting those events to things that were going on outside the college‚ ahd the need to band together for defensive purposes became a necessity and became a reality. 
Yeager, You did address my next question I think. What kind of inter-action did you have with other black students? Was it mostly social or would you say political‚ or both? Or was it different in different years? 
Thomas, It was different in different years. Somethimes it was more social‚ and it was also black students‚ or my perception of it was that you socialize with black students mainly in a smaller level.. And it still may be true. I don't know. In smaller levels than you did say as what is perceived now that all the black students are together as a unified whole. We were sort of together as a unified whole but each of us socialized within small cell-type. That's what we did--three or four people in a group socialized. And most of us had a number of white student friends‚ but we spent more time with black friends. 
Yeager, Had you had white friends before you came to Grinnell? 
Thomas, Yes. That was not a new experience for me. 
Yeager, But your closest friends were black‚ or not? 
Thomas, My closest were black. 
Yeager, Did you have any white roommates‚ Did you have black roommates? Were you in a single? 
Thomas, Yeo and no. When I came‚ I came in mid-year. I was put into a two-room suite which became the RA suite in Cowle's Hall and that was the room that was available. I had the room that had the bathroom. There were two guys sharing the other part of the room. So that's where I lived. Then I stayed in Cowles the following year in ;67 through 1 68‚ and I had then an adjoining room with a guy I had met who was a white guy. We had a single room with a connecting door‚ and we became friendly. He was a senior. 
Yeager, What was his name? 
Thomas, Phil Jones. I had met these people when I was here in 1 67 and he played table tennis and bridge. He taught me bridge. I became very friendly so we roomed next to each other and shared a lot of things. But in that sense I never had a roommate at Grinnell. 
Yeager, That was through your whole four years in the same dorm? 
Thomas, That's right. I never had a roommate. 
Yeager, That's intersting. 
Thomas, But I didn't stay in Cowles the whole time. After Cowles‚ I stayed in Cowles a year and a half. After Cowles then I moved to-let's see. From the fall of 1 68 through &bull;69‚ I stayed in the first coed dorm in Younkers that year. That was also the beginning of the student advisory system. Then I went to the German House the fall of :' 69 through the '70 's. And then I got married‚ and we lived offcampus‚ then in an apartment‚ and my wife had come in September of 1 67 so she still had to finish up. 
Yeager, You got married. 
Thomas, In '70‚ 
Yeager, Right after you went to school. How did you know this person? 
Thomas, I met her here. I got married in &bull;70. I met a student who was also class of '71‚ and we got married in August of '70‚ and spent the last year here while I had a semester to go‚ and she had a year to go. 
Yeager, What is her name? 
Thomas, Sheena Brown; Sheena. 
Yeager, She was class of '71 also. She didn't come to the conference? 
Thomas, She Is white. She's not black. 
Yeager, Oh‚ I'm sorry. She still could have come to the conference. 
Thomas, She had other things to do so she couldn't come. 
Yeager, I was going to say did you have any adjustment periods to go through with a white roommate‚ but really didn't have a white roommate‚ and you had experiences in the working world so you didn't have ... How did white students generally react to black students? 
Thomas, Diverse ways. Depending on the amount of experience. There were; I guess there was a big difference. I think white women acted differently than white men. There were a number of white women in those earlier years who also looked upon the college as a time to play‚‚everybody sort of. Those were college years. One of the things they had a chance to do was to date some black men for the first time. 
Yeager, What kind of a scale was this dating black males? 
Thomas, I think most of the black males on campus at one time or another dated a white woman. Some of us dated more than one. That caused a lot of problems of course being a black community. There was very little of black women dating white men. There were only a couple. So there was sort of a peculiarity effect among some of the white women to go and date a black man for the first time. You‚know what it was like. You know you got some questions from somebody who hasn't been around black people lik~ you know‚ mainly‚ “What's it like growing up black?“ Not the kind of serious typical questions like‚ “Can I feel your hair?“ or “Do you have tails?“ But just trying to find out what it is like. You know. I don't know‚ what can I try and find out about you to hslp me understand what's going on in the country. And there were a few‚ as there are in any kind of society of people just wanted to do it because of the status. (The Myth). This is where it's at. I don't know to what extent other people's motives existed for dating a white woman in a black community. My perception of black women on whether or not they were dating a white man. There were several reasons. The main two: They did not find white men as a whole attractive‚ and two‚ they‚ black women as a group‚ I think perceive white males as enemies much more so than black men perceive white women that way So it was difficult to get over those kinds of concepts to date somebody who was white. 
Yeager, Had you had any inter-racial dating before you came to Grinnell? 
Thomas, One. 
Yeager, One‚ so it was not new‚ but yet new to you also? 
Thomas, Right. 
Yeager, Getting back to the question‚ were you aware of the activities going on outside of Grinnell--national events of Mr. King Malcom X and others? 
Yeager, 1IJhat about son1e of the other black people in the tovmi white people too? 
Thomas, CC11e 1;eo1Jle I tenc1ed. to rissociate v1i&middot;tf1 vver&middot;e in~ter&middot;es-tE:;j ir1 those things. I tended to associate with however those white students v1f10 ha~d i:r).ter~es-t ir1 tt1ose kir1d.s of i;hir1gs -cr1at v-rer&middot;e g~&middot;c>ing; or1. I~r1d. black students as 1vell. I thin}c all -the black students for the rnos&middot;t I)ar..t exce1Yt for i;f1e exce1Jtiori of a cotipJ_e of' 11eo1Jle r vve1~e av‚;c1r~e of these kinds of events. But I think BS a whole all of us were s&middot;til.1 ca.u_gh.t 111J in t:r.!.at s;_tstern &middot;that r1011e of it \Vcis rea.lly toLlC!1ing; u.s so 1.Jn.til yeopJ_e s&middot;ta1~ted get;tir1g; beai: tlp in i;ovll'1 a.r1d. l(ir1g g:ot killedi -but it was al.1 hai)pening out there. There vms no sens.f.'‚ until l{ir1t; g:rJt }~illec5.. 't}&middot;1a~t any1Jc1d~‚r vvas g;oj_ng to tal{e c;‚rer* t}1t; For-u.m‚ -talce (Y'le1~ J3tlrlir1g:‚ clo aAny of t;h.a..t st1..tff' &reg; rI'hat j11st doesr1 it; ha.ppen at Grinnell. 0Je just talk it out. I'm sure that still exists around here that you can always sit around s.nd sornebcdy wiJ.l sayi “~&middot;Jell‚ heJ._1 1 Gr&middot;i11nell v\ril1. ts.llr a.r1yt}1ir1g to d.eatfi.!1 A‚ncl that vvas the ser1se Ii 'l'hat Grirmell will talk anythint: to death so yop don't take over l&middot;ru'17rl~nrTC'[-:)0 J “'T'“Y11 do&middot;n't d(-' &bull; w‚..... ~~ ---l..L.!.1..-r:;;. +1‚.‚rvliC.:t1 4-l.&bull; &middot;T'hR&middot;t .!_:0‚ .....‚‚_c_‚.t.‚.1.-h +lJ-“ J‚.!‚ 1 ;v&middot;&middot;1s~~~ ‚_‚‚‚.... -rn&deg;-t1‚.‚;‚(““'IC-' ..-.&middot;n&bull;)e-V-.C! U ..1..__._~..... .L J “\‚.;-\..-\. i_.... J ‚;:_:.‚ ..l‚‚a.~.11:‚::“) :~\..~.-Ill ...-... ;.l‚l~ t ‚‚_ craz;/ r)eoJ~le 01J.t 1 ther&middot;e 1.r1 c.‚; or~11e}~J--ta1rir1g sorr1e t)ot a‚t G-rinrieJ_~l‚ so 'lie vver&middot;e r10-t effee-ti~vely toucheCl~ 
Yeager, How do yo~ view? I was going to ask you how yo~ viewed }Cir1g:‚s a~r1d h1alcoJ_&middot;‚m. )C's a.ctivities.g You sai‚j ~~:rotl \Vere ir1 l{ir1gws ca‚rnp ~ '1Jl1a.t clid yo1-1 l.i};:e a_JJ01..it Kin2_~ ar1cl v1!1at d.idr1' t s~o1..1 1.ike abol1t r{l~1.J_c oJ_rn J(? 
Thomas, I f'el&middot;t t}1a-t Ivic:t.lcol.1n X‚ I&bull; 11 s-tart 1.vit!1 lVlalcoJ-111 first. r.~2“lcolrn )C \vas t111r1eceBsar'y &middot;bornbasi:.ic ir1 sorne of tt1e t!1ings :r1e said.. I came to change my vievv of }1alcolrn X lats<c as he changed his mrrn to an extent and also I decided. that once 1\':alcolm waE:; killed that I Irtawd_ a d_t.rt:v7 to tr~r arid. &middot;u.11.(1.er&middot;s-ta.nd 1VI:a.J_coln1. a J_ii~&middot;tle rnor~e ~ .i~...nc1 I thi~c that had the effect. King and I were closer because I felt at the time that I had a lot of leanings towards nonviolence and towards c}18wtlge tlL!.~Otlgl1 in‚ter-actior1 into t1--:{in.g to corr\ri11ce 1~1eople tha-t:; \Vl'1at the:-t 21r&middot;e d.o:i.r1g is cra.z:v c:1nd_ ther1i b1J.t v1}1er&middot;e 01::._J:<~ pa.r&middot;&middot;ty-v‚cis Kir1g to some extent that some people I was willing to write oBf and hell‚ I'm just not going to do it. I'm just not going to do it. I'm ~jl)~st: vt1ritir1g ~/ou off~ &middot;you‚‚ 1 r&middot;E: just a cor1finned. \iV}1atev-er ar1d tr1at 'is &bull; + ‚‚rh ‚ cr &bull; + 1 ‚ a' &bull; ..‚_ -“' &bull; &bull; &bull; ““ &bull; &bull; ~ off: &bull; l '-'‚ ‚‚__ereac3 alng‚ ~0-illS ::‚‚-&bull;e' J. v‚. ~e_:_ U~SQ‚ T‚Q Wl'l-v8 'tl1088 peo:p.LE‚ . publically. I don&bull;~ Know if he dia priva~ely‚ no one knows‚ rna:ybe C~ or~etta‚ Bi;tt pul)l.icall~y fie r1ev&middot;e1~ v.:r&middot;ote ar1“:t&middot;or1e off ar1cl I thin-1t tha.t vra‚s irnpo:et:ant &middot;to rnr:: beca11_s e l1e 1rvas reaJ_J._y li\Tir1g@ I 11a‚cl be-er1 ~.reY:-.\/ aff)eci~ed. -b~‚r r'eacli11‚g a.bo1Jt ~pec;J}le lilrt.1 G1:~a.1~1Cti‚ ar1d J)eor1.le who did these kinds of things in the past years‚ and the fact that I S-E“'JJN l(in g a~ f3 a G-}1andj~--lilte pe:r:“so:n. in. tf1at l1e 'lle11t thro11gh a. v1l1.ole 1::u.ticr: of thing/: on behalf of his people whan at any thousand times he coulcl ha&middot;ve saicl‚ 11 !-ie:1 i Ii m. not f_s(;i11g to do i.~11.is ~ I '1n tired of get-tir1r~ :my }1eacl beate11* I 'ra tired. of everything. n Bui~ 11.e jt1st }cerJt doing it. He did not have toge~ involved with the ga~bage strike‚ }Ie did. r1ot 11a....‚.re to get ir1vol....ved. \vj_th &middot;the ce‚;vctr&middot;‚ b1l-t he sa1A1 i &middot;t as 3~ logical extension of who he was and his own kind of theology and his own kind of Christian committment. And that was very important to me because I was still involved with the church in terms of the overall view of the church that was the Christian sense that people v could have. I still have that. I still consider myself a Christian‚ but I don't go near a church anymore because I decided that institution was no good. But King did things for me because he was there living that Christian view to the best of sense that one could given the kinds of things that were going on. He was not a saint. And a lot d‚f people kept saying‚ “be a saint‚ King‚“ or “be a devil.“ And I kept thinking‚ “Hell‚ let the man be a man. He is a Christian‚ and he is telling you what to do and he's doing it.“ 
Yeager, What were your opinions of the Black Panthers? Did you know of them? I'm sure you were aware of the Black Panthers. 
Thomas, Admiration‚ to some extent because I had‚ because of the kinds of responsibility I had had earlier. I had learned to sort of be quiet about expressing certain kinds of opinions. I was a facilitator‚ a mediator rather than a confronter. So it was sort of an admiration of the Black Panthers‚ those guys were confrontive‚ man! We had a group from Des Moines come down and they sat right here in this room and they were sitting there‚ and they were just going through the thing and one time this cat said‚ “Well we're just here to tell you that stick 'em up motherfucker we came to get ours.“ Thats the kind of things I would not say‚ but it was very influencing. I thought the Panthers were a good group in the sense I thought they were necessary. The kind of people who were involved with the Panthers except on an individual basis that I would have known this person before‚ I would not insult someone else that was a Panther‚ but if someone were to become a Panther that I had known I would not put that person‚ down. That was just my kind of personality status. I don't enjoy confrontations. And the people who were sort of doing that had really confrontive personalities so I would not willingly insult that person. I thought that they were necessary and I thought they were doing good things in the sense that they provided an edge that a lot of people could not--an effective kind of counter-point to King and to Elijah Muhammed and for me the three of them; three of them as the three movements‚ the three of them provided the effective force at that time to really do things. That was a little gap in there where I perceived myself and some others being‚ that we were the ones who had to sort bridge those gaps between those three. So we were sort of bridging‚ that's the way I felt ourselves at the time‚ as sort of mediators. 
Yeager, Did you consider going down South during this period SNCC&bull;s activities were going on and some of the... 
Thomas, I'd considered it‚ but never did it. 
Yeager, There were Grinnell students involved in freedom rides and activities such as that. Wh~t were your opinions of those things? What were some of the opinions of the black students of white involvement in civil rights? irhomcts: It c11r..Lnged ~ [/!.y &middot;z.riE;'‚tir cli.d31_ 1 &middot;t c1'1ar1ge ii I t}101-1ght if peopl.e VlaJ1te{l to do that j_ t vra~s fine i. It vvas not; the 1-ti11d of thir1g: I vvas going to do. I'd done my march in Chicago‚ and I'd felt bad about it. I guess that's the closest‚ other than King's assassination‚ that I ever' got to being angry about the black experience Bnd thi.ng:s .liJce -'c}1a-t: ~ }VIarc11ir1g \Alaf:] r1e:ces sa_i--y 21.nd_ v&bull;Ic1s c1 good &middot;thi.11g a:n.d. all that‚ but I felt frust~ated doing it. I felt frustrated within the sor~t of nor1~-\rio].t~n.t c:~n.ris-tiaJ1 r&middot;es1)or1se to t-11.e 1narcf1ers bei:r1g spit upon‚ getting things hurled at you and you would not respond. Although I thought it was necessary. That was tl1e closest that T got to anger‚ during &middot;that-ti~e. I could get angry individually at sorne partic1.1lar~ pe:_~s011 abot:tt sonJet:hint;‚ 1:ru.. t 1JSE: tha-t to Jcr&middot;y ar1d. fa.cilitate around it or whatever. I was upset about the fact that peop1e were goinr; on riots and things like that and my su::..~mise is that one is that is necessary for some people to do it‚ not just to do it and to come bac};: to those black co1rimunities within whicr&middot;; tl1.e~l }1a.‚..re beer1 accepted bctt to go &middot;bacl::-to -cr1eir ovvn \ti!}1ite commur1ities ' &bull; L 1 -I J .‚ ‚‚ &bull; 1. ‚ ' ~ ' ‚ &bull; d . ‚.‚‚.2!..rlCL spi.~ea.ct -t.‚.na t~ vvorc.t. :rvnic..n. a ..LO-C oI -cr1ese vvere 110-c . 0111.g 11! ....:r1e:‚r were going on those rides and then refusing ~o go back to their own comrrru.r1ities a1-1d clo it T'h.e~r go }101ne‚ ctr1cl -t11e 1.1tJ11ols -thing: v1o~c-1ld l;e (J like‚ HI c1o 11ot \qa_ri-t -to i~ctJ_}r c1..bout t~his 1.vi-tT1 rny pa.rer1ts i 1n.y fr&middot;iends 01~ f\r&middot;ie11d_s f)f ray pc1rer1ts $ n y&middot;eager&middot;~ V{l1icl1 defeated tl1e V{110J.e pu1-.:pose because tl1is is v1r1a‚t the:‚r 1\ 1ve1 e t1---:-/ir1g &middot;to I“each; t~he povve1~ of t;}1e cottrttr--~‚r &reg; I vvc1rrt -to 1cnovv \~111etl1er~ ~l&middot;ou z.;ver&middot;e irrvol&middot;\red. ir1 i.nte1~11~3‚tio11c1l‚ a~ctivi~ti.es a~t C-1:'inr1ell? I t &middot;ve 1)E~en s&middot;t1.lc1yi.r1g -t;hse ealy&middot; Y1istor~y~ of b1.ac}rs ai‚.: G&middot;r~irtr!.e.11 in tl1e 20t11 centt1r~y.‚ lV[any of -t11e ear1.y st11clen-ts e:v&middot;or1 tl1c1l1gf1 the~.. vver&middot;&middot;fJ 1\.rne1“'ica‚r1 vver&middot;e i11.&middot;\rol'-led~ in v1hat -t:r1ey-call -t:r1e Cosmopolitc1.n C! lu1J It \Vas 011e of the few outlets for black students in those days. They did~&bull;t :na‚\re the r]13~:; The 60' s vv~c3_s -tl1e time o:f ir1te:r'n.a:tion.a.l &middot;;.Jl1J7r~:s-t for~ &reg; 1Dany fi:fr&middot;ica.n co1J.rrt.ries‚ C~-l1Etna. &reg; It rrtf1y&middot; t1a-r.;-e &middot;bef::r1 it1 ~ 62 ~ rrr1e1:--e “vve:ce ot:}1.er A.. fricc:1.11. CC)llnt1~it;s fol.‚lovlint~ &reg; 1J~hon1as g I t1ad. a s]_igh-Gly&middot; diffr;r&middot;er1t -‚rievv alJt-y11t t.112;‚~t (l1 I \A.ras ver&middot;y 1nucl1 co:t1ce1~r1ed a.11d_ still. an1‚ c:t&middot;bolJ.t wJ1o~t 1'1apper1s :in. i~frica‚ par-ticu.la.:ci1_y 1\f:r&middot;.ic2_@ I “-\re al‚so 11a.d_ son1e co11ce1~r1 a.'bo11t vvr1c1-~t ha.pper1s ir1 Sotrt11 l1.n1erica & I ~tr1i11lr that bl_ac1-r. peopJ_e f“or instanc(?.‚ f'1a-&bull;if“e a‚ lo&middot;t 1no1~e enrpathy tovmrds some of the people in South America then we r‚::;:ali.ze‚ ;‚rJhct&middot;t.: I sav-1‚ I cliE:;3.. t;i'\eed v1ith &middot;th.t'3 llf'r&bull;ica.n rr10‚reJner1t@ I &middot;vrc1s born. ir1. t.he 1J~Sll }-'Jost of ~t1-1t:“';Se J;‚eople Vle1~e i-;01~n in tJ1e u&middot;jj:;&yen; I };:nev&bull;r enot1g}1 fr.0rn ~ceadir1~g t}1c1i; a‚11(1 l1ac1 ~rno\>im en_cru.gl1 l~fr&bull;ieans‚ for i.ns-tar1ce t;o r&middot;ecog:ni ze y1}1c1t \Vas beinft sa.ic1 bv al1. those -oeoDJ_e‚ vvere S2L:Vrinf:‚ H~C.fey_‚ --:;ro~l r1ir1r1\l1T (&middot;&bull;r.rne T-~~~o&middot;m J\-f'l-“l.vCs:l v-Ol'( rt;d;;w-r-..... -&bull;c-‚y(\~ “+'1“““0&middot;1n 1Jpr&bull;p~H n(~1-0 + ..1‚.‚‚. f ._j '-~&bull;w-“.__ _.‚ W -&bull;..‚/4.l ‚.‚..._ _.~ .__....._~-~ '--“-'~ J.. '&bull;A-....... _ V i.._..-‚_.;‚‚.‚A>-~ ..L. ..... .‚.1....~_-..‚‚.‚1... _‚.'Ii '-.-'I'&bull;&bull;-'4! jtol11--ovvn }101Jsc~ in order&middot; ax1d. ~cfte2rt con1e visit 11s a:c1c1 help u.s c1r1cl lir1tiJ._ t1'1er1 Vle ~ r~e goi1:1g i~o }[eep or1 vvitl1 t}1e st.rligg~le that vve got~ n l didn't believe in this system of let's beco~e African‚ let's become -c11is ctr1cl t}1.a.t ~ I Jrir1ci of' .like sorae-of -t11os e -c11ings -cr1a‚t; haJ;>J?ened‚‚ Afro haircuts and all that kind of stuff‚ but accepting the idea of -~~ ..-...--~ &middot;T ‚&middot; '....... -~-j'‚ -p-‚..‚‚.; (-.‚‚-... T .‚.i ...rt “&middot;7 + T ;_-; u.rs-1 &middot;+: -1-~h‚-‚‚..l.-.!+ “'q“'“'r“'“-l -P ‚...‚.1 i 01...‚‚n;:::i‚-..r-‚ J ;‚..le V t:;;O _._nc':> c~ 0 ).--\._;_ j_ ..L ‚...‚ a‚~ t..‚‚_l‚ ‚___‚_ .L ... O u ~ .l... l..‚_n.o t::-;n -.J. u ‚ct L‚ .l. &yen;‚ ctQ J_ 0 '.‚J ...L ...... 0 ... l '-' 0 ‚J j__ V I i:11ot1;~h tha.t v1t:; 110~<1 ..too n1cln:y-I)I<oblt;rns here to &middot;be wa..stir1g ot1r ene1...gy g:oi11.E; to i\frlica‚~ Ii““' ~/0Ll VYFi.11t t&middot;o ~visit‚ fir1e~ B1‚1&middot;t to S2.~/ I'rn going to move to Af~ica. I'm going tn try and 2ake the U.2. a little Africa whatever that is‚ doesn't make sense. 
Yeager, Can I ask‚ were you a member of any major racial organization‚ NAACP‚ National Urban League‚ SNCC? 
Thomas, Yes. I was a member of the NAACP‚ but I'm not necessarily a group member of the NAACP now. 
Yeager, You're no longer a member now? 
Thomas, I'm no longer a member. right. I decided to let it lapse at the time‚ after Grinnell. I guess I was too poor to keep ... I've been since considering becoming a member again. That was the only organization of that kind that I belonged to. 
Yeager, Can you tell me‚ were you happy at Grinnell? What did you like most about Grinnell? What did you hate most about Grinnell? 
Thomas, I was happy at Grinnell. I guess the thing I disliked most about G:rinnell was the sense that was contained within the overall campus community for a freshman to come in‚ that those people who were my peers had things that I did not have. I was sitting in an humanities class with people who had been to Greece‚ who had been to France‚ that kind of thing. I guess Grinnell gave a lot of comfort and cover to people and you can't tell somebody's a millionaire's daughter or whatever‚ That's not true cause you can do that. And it definitely became disturbing when they were talking about when they had been to Greece or something. I haven't been to Greece. That's what I disliked‚ and the second thing I disliked at Grinnell although I am kind of not so concerned about it now. I found the tendency to over-intellectualize. I don't know if they use that phrase. In the sense that people just talked things to death. They would put intellectual connotations in things that didn't deal with reality. And shit‚ I'd been used to dealing with reality when I was working. They were always playing these intellectual games. But I recognize that that is happening in a lot of places. 
Yeager, What did you love most about Grinnell? 
Thomas, Intellectual stimulation. It sounds contradictory but‚ I liked intellectual stimulation. I liked the opportunity to experience all these cultural events free‚ to meet all these kinds of people‚ and I liked most meeting some of these people who became friends throughout this time. 
Yeager, Have you kept friends since then? You have several friends at Grinnell that you have kept in contact with? 
Thomas, Yes. White and black. Lots of them. 
Yeager, One question aside and you can go back to the conference. Had you heard of A. Philip Randolph's activities or was that too early for you? I know he continued up to 1 63 but he really wasn't in the limelight that much. ~~e;:Lg;er&middot;: 1'.7 -ou~ v:eren.' t pa1~tictlJ_sJ::-il.~r irrtei---ested. ir1 t11e n1ctr1.? }Ie c1id~r1 1 t ::--tf'fsct~ “\.roD@ }1.e \vasr1 it fJnrs o~f t}1e n101')e ca~9ti&bull;v“Gti~i11&sect;z; J.E:ci.ders a.r1cl‚ he certainly had a ~ajar role in the forties. You were born in the f <)J~ties? 
Thomas, v..ra.s ir1 ‚ Yes ‚ j‚‚ &middot;born. 'L+J4$ 11 I'~ o didn't have a major visible role. Of course‚ he had some affect‚ but no he really didn't. 
